Id,name,email,manager_id,manager_name,manager_email,team,designation,phone_number
1,Siddharth Gokhale,Siddharth.G@example.com,580,Isaiah Atwal,Isaiah.A@example.com,Software Engineering,Staff Engineer,05569591644
2,Aashi Manne,Aashi.M@example.com,904,Irya Vaidya,Irya.V@example.com,Software Engineering,Engineer,02555304933
3,Yachana Gour,Yachana.G@example.com,356,Vyanjana Sarraf,Vyanjana.S@example.com,Cloud,Staff Engineer,4404751464
4,Shaurya Tailor,Shaurya.T@example.com,444,Fiyaz Majumdar,Fiyaz.M@example.com,People Group,Professional,6823198678
5,Vanya Mukhopadhyay,Vanya.M@example.com,663,Naksh Reddy,Naksh.R@example.com,Opus Group,Intern,00428520526
6,Tanveer Manne,Tanveer.M@example.com,443,Chandran Patel,Chandran.P@example.com,Cloud,Senior Professional,+919180637933
7,Falguni Kannan,Falguni.K@example.com,774,Vincent Sehgal,Vincent.S@example.com,Application,Intern,+912632921251
8,Zayan Bhakta,Zayan.B@example.com,30,Ishani Menon,Ishani.M@example.com,Framework,Engineer,6766644606
9,Harinakshi Deep,Harinakshi.D@example.com,732,Netra Soni,Netra.S@example.com,Framework,Professional,00653770988
10,Anika Khosla,Anika.K@example.com,342,Aishani Dhingra,Aishani.D@example.com,B2B,Engineer,7332406960
11,Lakshit Gole,Lakshit.G@example.com,22,Caleb Sur,Caleb.S@example.com,SWPL,Staff Engineer,0261193738
12,Zinal Ramesh,Zinal.R@example.com,4,Yug Tailor,Yug.T@example.com,People Group,Senior Professional,+914244249200
13,Falguni Kala,Falguni.K@example.com,514,Niharika Tella,Niharika.T@example.com,System,Staff Engineer,08859441590
14,Sai Pandit,Sai.P@example.com,877,Panini Sarma,Panini.S@example.com,Visual Solution,Senior Professional,+910357414129
15,Brinda Raghavan,Brinda.R@example.com,970,Bina Loyal,Bina.L@example.com,Framework,Senior Professional,9340564852
16,Rishi Sehgal,Rishi.S@example.com,593,Balhaar Gera,Balhaar.G@example.com,Business Management Group,Senior Professional,3844595495
17,Ikbal Misra,Ikbal.M@example.com,597,Meera Doshi,Meera.D@example.com,Digital Health,Staff Engineer,04467806715
18,Devansh Parekh,Devansh.P@example.com,820,Advika Anne,Advika.A@example.com,System,Professional,5047586469
19,Madhavi Pau,Madhavi.P@example.com,275,Gagan Bhavsar,Gagan.B@example.com,Business Management Group,Intern,1680127400
20,Chaitanya Om,Chaitanya.O@example.com,248,Ethan Pradhan,Ethan.P@example.com,People Group,Senior Professional,03167034103
21,Onveer Seshadri,Onveer.S@example.com,256,Finn Batra,Finn.B@example.com,CP,Professional,05303163804
22,Atharv Grewal,Atharv.G@example.com,242,Meghana Ray,Meghana.R@example.com,B2B,Professional,04271291584
23,Krishna Choudhry,Krishna.C@example.com,102,Amol Balasubramanian,Amol.B@example.com,Cloud,Engineer,4008293502
24,Ucchal Wason,Ucchal.W@example.com,570,Gaurangi Batra,Gaurangi.B@example.com,System,Staff Engineer,00342369542
25,Jagdish Ravel,Jagdish.R@example.com,198,Yash Oza,Yash.O@example.com,Visual Solution,Professional,08372791969
26,Dalaja Srinivasan,Dalaja.S@example.com,996,Vasudha Dua,Vasudha.D@example.com,Application,Staff Engineer,00688348669
27,Damini Virk,Damini.V@example.com,911,Janani Rattan,Janani.R@example.com,Opus Group,Staff Engineer,+913433559621
28,Meera Chokshi,Meera.C@example.com,229,Devika Doshi,Devika.D@example.com,System,Intern,+918555459983
29,Triveni Goswami,Triveni.G@example.com,350,Aarna Sarna,Aarna.S@example.com,Framework,Professional,+910815208454
